Acc test

Time, Pressure, TempC, Height, AccX, AccY, AccZ, AccT, wX, wY, wZ
533, 100507.82, 21.48, 0.00, 0.11, -0.50, 10.07, 10.09, 1.10, 0.18, -64.70
763, 100507.82, 31.74, 0.00, 0.05, -0.53, 10.04, 10.05, -0.06, -0.67, 0.79
1037, 100507.82, 28.32, 0.00, 0.05, -0.55, 10.01, 10.02, -0.18, -0.73, 0.73
1267, 100507.82, 36.62, 0.00, 0.07, -0.55, 10.02, 10.03, -0.85, -2.56, 0.55
1541, 100507.82, 21.00, 0.00, -0.04, -0.88, 8.95, 8.99, -1.04, 0.98, 0.79
1771, 100507.82, 35.16, 0.00, -0.02, -0.61, 9.88, 9.90, -0.06, 0.92, 0.98
2045, 100507.82, 16.60, 0.00, 0.10, -0.60, 10.00, 10.02, 0.00, -0.79, 0.73
2344, 100616.32, 16.11, -0.06, 0.14, -0.56, 10.02, 10.04, 0.49, 2.62, 0.79
2618, 100507.82, 23.44, 0.00, 0.12, -0.61, 10.00, 10.02, -0.12, -0.85, 0.67
2849, 100507.82, 40.04, 0.00, 0.13, -0.60, 10.02, 10.03, -0.12, -0.85, 0.79
3123, 100507.82, 39.55, 0.00, 0.14, -0.60, 10.01, 10.02, -0.12, -0.79, 0.73
3353, 100507.82, 32.71, 0.00, 0.12, -0.60, 10.01, 10.02, 1.83, 3.48, 1.10
3625, 100507.82, 22.46, 0.00, -0.16, -0.73, 9.42, 9.45, 0.00, -0.98, 3.60
3859, 100616.32, 32.71, -0.06, 0.11, -0.61, 10.03, 10.05, -0.61, -1.83, 0.61
4132, 100507.82, 16.60, 0.00, 0.10, -0.61, 9.95, 9.97, -0.24, -0.98, 0.73
4363, 100507.82, 16.60, 0.00, 0.11, -0.62, 9.96, 9.98, 6.53, 5.31, -10.19
4636, 100507.82, 26.86, 0.00, 1.12, 1.31, 7.66, 7.85, 24.90, 29.42, 0.85
